---META---
LAST_LOCAL_INPUT_AT
1770167627934

---TRADES---
Date,Asset,Maturity,Side,Price,Qty,FXRate,StopLoss,Memo,CreatedAt,UpdatedAt
2026-01-26,USDKRW,2026-02-13,Buy,1446.6,3,1,,"",1770017269282,1770017269282
2026-02-02,USDKRW,2026-02-13,Sell,1457.2,2,1,,"",1770017333248,1770017340281
2026-02-03,USDKRW,2026-02-13,Sell,1453.3,1,1,,"",1770167627934,1770167627934

---MASTER---
Asset,Symbol,YSymbol,Tick,TickVal,Fee,Cur,MarginType,InitMargin,MaintMargin,Multiplier,Desc
USDKRW,FX_IDC:USDKRW,KRW=X,0.1,1000,1000,KRW,PCT,4.15,2.77,10000,"국내형(비율)"
MES,SPX500,MES=F,0.25,1.25,1,USD,FIXED,1600,1450,0,"해외형(고정액)"
MNQ,VANTAGE:NAS100,MNQ=F,0.25,0.5,1,USD,FIXED,2200,2000,0,"해외형(고정액)"
MCL,TVC:USOIL,MCL=F,0.01,1,1.5,USD,FIXED,1200,1100,0,"해외형(고정액)"

---ATM---
Date,Account,Amount,Memo

---CAPITALS---
DOM_KRW,OVS_USD
10180384,0
